CASE_NUMBER,Date,Location Description,Domestic,Beat,District,Ward,Community Area,Latitude,Longitude
hx176463,03/08/2014 12:38:00 AM,street,False,1215,12.0,27.0,24.0,41.894355393,-87.660637099
hx177692,03/09/2014 03:31:00 AM,residence,False,1532,15.0,37.0,25.0,41.890447909,-87.748936419
hx179891,03/10/2014 10:02:00 PM,street,False,824,8.0,16.0,63.0,41.789569386,-87.685143371
hx181370,03/12/2014 07:41:00 AM,street,False,2022,20.0,48.0,77.0,41.988231436,-87.656758504
hx184454,03/14/2014 12:54:00 PM,street,False,1132,11.0,24.0,26.0,41.875256983,-87.726423378
hx187389,03/15/2014 02:00:00 PM,apartment,False,212,2.0,4.0,35.0,41.829651528,-87.614451899
hx186536,03/15/2014 11:18:00 PM,street,False,726,7.0,15.0,67.0,41.771152524,-87.675024054
hx190919,03/19/2014 03:45:00 PM,house,False,1121,11.0,27.0,23.0,41.894420385,-87.712622818
hx191550,03/20/2014 12:04:00 AM,house,False,1121,11.0,27.0,23.0,41.897890221,-87.716394563
hx193257,03/21/2014 11:50:00 AM,sidewalk,False,612,6.0,17.0,71.0,41.756800384,-87.653906113
hx193885,03/21/2014 07:17:00 PM,hallway,False,414,4.0,8.0,43.0,41.752940239,-87.578458689
hx195480,03/23/2014 04:25:00 AM,alley,False,433,4.0,10.0,55.0,41.647069431,-87.544099244
hx179976,03/24/2014 03:22:00 AM,house,False,433,4.0,10.0,52.0,41.68592815,-87.531649331
hx198452,03/25/2014 04:30:00 PM,house,True,221,2.0,3.0,38.0,41.81122,-87.615167898
hx198850,03/25/2014 10:05:00 PM,parking_lot_garage_non_resid__,False,212,2.0,4.0,35.0,41.830697249,-87.614476891
hx206414,04/01/2014 07:05:00 AM,retail_store,False,825,8.0,15.0,66.0,41.779235033,-87.685258451
hx206656,04/01/2014 10:47:00 AM,vehicle_non_commercial,False,412,4.0,8.0,45.0,41.741914891,-87.578232411
hx207408,04/01/2014 07:59:00 PM,sidewalk,False,421,4.0,7.0,43.0,41.753585679,-87.563238289
hx199577,04/03/2014 07:20:00 AM,street,False,731,7.0,6.0,69.0,41.766547544,-87.627407259
hx211314,04/04/2014 10:17:00 PM,street,False,1123,11.0,28.0,27.0,41.885453188,-87.712298315
hx212376,04/05/2014 08:07:00 PM,street,False,413,4.0,8.0,47.0,41.725800408,-87.598136921
hx213100,04/06/2014 12:15:00 PM,sidewalk,False,1125,11.0,2.0,27.0,41.879287821,-87.692984296
hx214089,04/07/2014 11:01:00 AM,sidewalk,False,1523,15.0,28.0,25.0,41.888501259,-87.76514656
hx217334,04/09/2014 06:35:00 PM,sidewalk,False,423,4.0,7.0,46.0,41.738420419,-87.562382589
hx223928,04/15/2014 03:07:00 AM,street,False,2422,24.0,49.0,1.0,42.020820517,-87.670721657
hx228931,04/19/2014 12:05:00 AM,yard,False,1522,15.0,29.0,25.0,41.873930827,-87.756099937
hx229207,04/19/2014 08:49:00 AM,gangway,False,2524,25.0,35.0,22.0,41.93079368,-87.722060506
hx229266,04/19/2014 10:04:00 AM,street,False,1135,11.0,2.0,27.0,41.872840521,-87.699720091
hx229324,04/19/2014 10:38:00 AM,apartment,False,424,4.0,10.0,46.0,41.745924358,-87.550357793
hx229502,04/19/2014 12:52:00 PM,sidewalk,False,321,3.0,5.0,42.0,41.774091737,-87.604573143
hx230268,04/20/2014 02:38:00 AM,cha_parking_lot_grounds,False,533,5.0,9.0,54.0,41.655827919,-87.595947243
hx230719,04/20/2014 03:28:00 PM,street,False,725,7.0,17.0,67.0,41.769746127,-87.661522667
hx236823,04/25/2014 02:15:00 PM,residential_yard__front_back_,False,613,6.0,21.0,71.0,41.740900421,-87.64983433
hx237477,04/25/2014 10:22:00 PM,apartment,False,1122,11.0,27.0,23.0,41.888620109,-87.720997371
hx237693,04/26/2014 01:55:00 AM,street,False,921,9.0,12.0,58.0,41.817393066,-87.692863891
hx237813,04/26/2014 02:23:00 AM,street,False,1513,15.0,29.0,25.0,41.879841697,-87.764852399
hx237696,04/26/2014 02:35:00 AM,street,False,2532,25.0,37.0,25.0,41.909386659,-87.764939346
hx238998,04/27/2014 05:24:00 AM,street,False,1013,10.0,22.0,30.0,41.844198084,-87.728621744
hx239765,04/27/2014 09:47:00 PM,street,False,512,5.0,34.0,49.0,41.705302756,-87.626513888
hx239919,04/28/2014 02:51:00 AM,street,True,1114,11.0,28.0,26.0,41.884656631,-87.727575684
hx239937,04/28/2014 04:31:00 AM,street,False,1932,19.0,32.0,7.0,41.925162419,-87.667277075
