CASE_NUMBER,NUM_CRIMES_DISTRICT,NUM_CRIMES_BEAT,NUM_CRIMES_COMM_AREA,NUM_CRIMES_WARD,NUM_CRIMES_BLOCK,NUM_CRIMES_ZIP_CODE,NUM_CRIMES_STREET_ORG,AREA_INCOME,AREA_ASSAULT_HOMICIDE,AREA_FIREARM,AREA_POVERTY_HEALTH,AREA_HIGH_SCHOOL_DIPLOMA,AREA_UNEMPLOYMENT,AREA_BIRTH_RATE,NUM_OF_DEAD,NUM_OF_ARREST,NUM_OF_VICTIMS,IS_DOMESTIC,NIGHT_CRIME,IS_KILLED_A_CHILD,MULTIPLE_ARRESTS,HAS_STREET_ORGANIZATION,IS_RATIAL,ARRESTED_RACE,VICTIM_RACE,AVER_AGE,AVG_NUM_CHARGES,IMMEDIATE_ARREST,IS_HOMICIDE
jb139300,179,14,80,84,1,161,0,16022,37.6,32.6,24.5,19.5,24.2,15.1,1,1,1,1,0,0,0,0,0,_1142,_1140,55.0,1.0,0,1
jb139324,295,10,67,196,1,75,27,13596,38.4,37.1,39.7,26.2,16.4,19.4,1,1,1,0,0,1,0,1,0,_1142,_1140,10.0,1.0,0,1
jb140367,150,23,80,69,4,108,75,14405,22.4,19.4,22.2,31.6,11.9,20.1,1,1,1,1,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
jb142932,142,15,50,27,1,22,53,15246,7.0,5.5,18.6,37.0,11.5,20.0,0,1,1,0,0,0,0,1,0,_1142,_1140,25.0,2.0,0,0
jb146910,165,24,83,118,1,139,84,12524,26.6,24.6,30.6,42.4,17.4,21.4,1,1,1,1,0,0,0,1,0,_1142,_1140,45.0,3.0,0,1
jb149168,153,16,120,156,2,185,85,12548,46.7,37.6,38.6,30.4,18.5,20.6,1,1,1,1,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
jb150650,52,6,22,37,1,5,0,67699,0.7,4.0,11.1,3.4,4.2,9.4,1,1,1,0,0,0,0,0,1,_1142,_1140,55.0,4.0,0,1
jb151275,48,2,44,100,1,32,0,87163,3.7,3.2,13.4,3.4,5.2,10.7,1,1,1,0,0,0,0,0,0,_1142,_1140,65.0,4.0,1,1
jb155159,213,17,99,118,1,152,15,10559,47.2,39.3,32.3,30.3,34.7,20.3,0,1,1,0,0,0,0,1,0,_1142,_1140,35.0,1.0,0,0
jb160414,153,17,120,156,1,185,35,12548,46.7,37.6,38.6,30.4,18.5,20.6,0,1,1,1,0,0,0,1,0,_1142,_1140,45.0,2.0,0,0
jb160133,153,12,52,44,1,185,50,10697,11.1,8.6,28.1,58.7,11.5,19.5,1,1,1,1,0,1,0,1,0,_1142,_1140,10.0,1.0,0,1
jb161360,142,6,75,90,1,145,26,17974,40.9,37.7,19.5,17.4,17.8,14.3,1,4,1,0,0,0,1,1,0,mixed,_1140,25.0,1.75,0,1
jb163448,180,20,49,68,1,132,50,18928,31.1,25.0,28.3,17.9,17.3,15.1,1,1,1,1,0,0,0,1,0,_1142,_1140,55.0,1.0,0,1
jb163735,153,27,120,156,3,185,35,12548,46.7,37.6,38.6,30.4,18.5,20.6,0,2,1,0,0,0,1,1,0,mixed,_1140,10.0,2.0,0,0
jb164505,174,14,244,88,1,430,378,15920,34.4,28.5,27.0,25.0,21.0,18.0,1,3,2,0,0,0,1,1,0,mixed,mixed,25.0,3.3333333333333335,0,1
jb166417,142,13,56,90,1,145,0,16228,43.9,46.5,24.3,22.6,17.0,15.3,1,1,1,1,0,0,0,0,0,_1142,_1140,25.0,3.0,0,1
jb171794,180,17,90,126,2,132,70,17213,49.7,44.6,25.6,17.9,18.9,18.2,1,1,1,0,0,0,0,1,0,_1142,_1140,35.0,1.0,0,1
f780368,106,8,21,45,4,46,26,23098,13.6,9.1,26.1,16.9,16.7,10.3,1,1,1,1,0,1,0,1,0,_1140,_1140,10.0,1.0,0,1
jb177657,24,5,9,11,1,36,0,35503,5.0,6.1,9.5,12.5,6.8,17.1,0,1,1,0,0,0,0,0,0,_1142,_1140,10.0,2.0,0,0
jb177909,153,27,120,156,1,185,35,12548,46.7,37.6,38.6,30.4,18.5,20.6,0,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,0
jb182924,165,11,12,24,2,139,0,17577,5.1,6.5,16.1,31.8,11.9,16.7,0,1,1,1,0,0,0,0,1,_1142,_1140,65.0,2.0,0,0
